slug,title,recommended_visual,source_status,notes
status-epilepticus,Status Epilepticus,Simple schematic: ED monitor + physiologic threat icons,IMAGE_BRIEF_ONLY,Use verified/licensed visuals during website phase.
raised-intracranial-pressure,Raised Intracranial Pressure,Simple schematic: ED monitor + physiologic threat icons,IMAGE_BRIEF_ONLY,Use verified/licensed visuals during website phase.
intracranial-hemorrhage-stabilization,Intracranial Hemorrhage Stabilization,Simple schematic: ED monitor + physiologic threat icons,IMAGE_BRIEF_ONLY,Use verified/licensed visuals during website phase.
acute-ischemic-stroke-critical-triage,Acute Ischemic Stroke Critical Triage,Simple schematic: ED monitor + physiologic threat icons,IMAGE_BRIEF_ONLY,Use verified/licensed visuals during website phase.
coma-approach,Coma Approach,Simple schematic: ED monitor + physiologic threat icons,IMAGE_BRIEF_ONLY,Use verified/licensed visuals during website phase.
delirium-vs-toxic-metabolic-encephalopathy,Delirium vs Toxic-Metabolic Encephalopathy,Simple schematic: ED monitor + physiologic threat icons,IMAGE_BRIEF_ONLY,Use verified/licensed visuals during website phase.
unstable-bradycardia,Unstable Bradycardia,Rhythm/perfusion concept diagram; no proprietary ECG unless licensed,IMAGE_BRIEF_ONLY,Use verified/licensed visuals during website phase.
unstable-tachyarrhythmia,Unstable Tachyarrhythmia,Rhythm/perfusion concept diagram; no proprietary ECG unless licensed,IMAGE_BRIEF_ONLY,Use verified/licensed visuals during website phase.
peri-arrest-patient,Peri-Arrest Patient,Simple schematic: ED monitor + physiologic threat icons,IMAGE_BRIEF_ONLY,Use verified/licensed visuals during website phase.
post-cardiac-arrest-care,Post-Cardiac Arrest Care,Rhythm/perfusion concept diagram; no proprietary ECG unless licensed,IMAGE_BRIEF_ONLY,Use verified/licensed visuals during website phase.
massive-gi-bleed-with-shock,Massive GI Bleed With Shock,Shock physiology map with four categories and bedside clues,IMAGE_BRIEF_ONLY,Use verified/licensed visuals during website phase.
acute-liver-failure,Acute Liver Failure,Simple schematic: ED monitor + physiologic threat icons,IMAGE_BRIEF_ONLY,Use verified/licensed visuals during website phase.
acute-kidney-injury-with-instability,Acute Kidney Injury With Instability,Simple schematic: ED monitor + physiologic threat icons,IMAGE_BRIEF_ONLY,Use verified/licensed visuals during website phase.
rhabdomyolysis-critical-concerns,Rhabdomyolysis Critical Concerns,Simple schematic: ED monitor + physiologic threat icons,IMAGE_BRIEF_ONLY,Use verified/licensed visuals during website phase.
thyroid-storm,Thyroid Storm,Simple schematic: ED monitor + physiologic threat icons,IMAGE_BRIEF_ONLY,Use verified/licensed visuals during website phase.
adrenal-crisis,Adrenal Crisis,Simple schematic: ED monitor + physiologic threat icons,IMAGE_BRIEF_ONLY,Use verified/licensed visuals during website phase.
severe-hypothermia,Severe Hypothermia,Simple schematic: ED monitor + physiologic threat icons,IMAGE_BRIEF_ONLY,Use verified/licensed visuals during website phase.
heat-stroke,Heat Stroke,Simple schematic: ED monitor + physiologic threat icons,IMAGE_BRIEF_ONLY,Use verified/licensed visuals during website phase.
immunocompromised-sepsis,Immunocompromised Sepsis,Simple schematic: ED monitor + physiologic threat icons,IMAGE_BRIEF_ONLY,Use verified/licensed visuals during website phase.
