Module,Route,Content File,Source Basis,Used For,Safety Boundary,Risk Level,Needs Medical Review
Mental Health/Self-Harm,/students/mental-health-self-harm,18_mental_health_self_harm_students.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,High,Yes if high risk
Community/Primary Care,/students/community-primary-care,19_community_primary_care_exposure.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,Moderate,Yes if high risk
ED Observation Logbook,/students/ed-logbook,20_ed_observation_logbook.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,Moderate,Yes if high risk
Research/EBM,/students/research-ebm,21_research_ebm_for_students.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,Low,Yes if high risk
Internship Readiness,/students/internship-readiness,22_internship_readiness.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,High,Yes if high risk
Jordan Public Medical Schools Alignment,/students/jordan-public-schools,23_jordan_public_medical_schools_alignment.md,Jordan MOH public context + official public university medicine pages + SEG student safety framework + emergency medicine source basis,"Student role boundaries, clerkship readiness, OSCE practice, communication, red-flag recognition",No official curriculum claim; no treatment protocol; no medication doses; supervised student role only,Moderate,Yes before public launch
Year-by-Year Roadmap Expanded,/students/year-by-year-roadmap,24_year_by_year_student_roadmap_expanded.md,Jordan MOH public context + official public university medicine pages + SEG student safety framework + emergency medicine source basis,"Student role boundaries, clerkship readiness, OSCE practice, communication, red-flag recognition",No official curriculum claim; no treatment protocol; no medication doses; supervised student role only,Moderate,Yes before public launch
Internal Medicine Clerkship,/students/clerkships/internal-medicine,25_internal_medicine_clerkship_map.md,Jordan MOH public context + official public university medicine pages + SEG student safety framework + emergency medicine source basis,"Student role boundaries, clerkship readiness, OSCE practice, communication, red-flag recognition",No official curriculum claim; no treatment protocol; no medication doses; supervised student role only,Moderate,Yes before public launch
Surgery Clerkship,/students/clerkships/surgery,26_surgery_clerkship_map.md,Jordan MOH public context + official public university medicine pages + SEG student safety framework + emergency medicine source basis,"Student role boundaries, clerkship readiness, OSCE practice, communication, red-flag recognition",No official curriculum claim; no treatment protocol; no medication doses; supervised student role only,High,Yes before public launch
Pediatrics Clerkship,/students/clerkships/pediatrics,27_pediatrics_clerkship_map.md,Jordan MOH public context + official public university medicine pages + SEG student safety framework + emergency medicine source basis,"Student role boundaries, clerkship readiness, OSCE practice, communication, red-flag recognition",No official curriculum claim; no treatment protocol; no medication doses; supervised student role only,High,Yes before public launch
OB/GYN Clerkship,/students/clerkships/obgyn,28_obgyn_clerkship_map.md,Jordan MOH public context + official public university medicine pages + SEG student safety framework + emergency medicine source basis,"Student role boundaries, clerkship readiness, OSCE practice, communication, red-flag recognition",No official curriculum claim; no treatment protocol; no medication doses; supervised student role only,High,Yes before public launch
Family/Primary Care Clerkship,/students/clerkships/family-primary-care,29_family_primary_care_clerkship_map.md,Jordan MOH public context + official public university medicine pages + SEG student safety framework + emergency medicine source basis,"Student role boundaries, clerkship readiness, OSCE practice, communication, red-flag recognition",No official curriculum claim; no treatment protocol; no medication doses; supervised student role only,Moderate,Yes before public launch
Emergency Medicine Exposure,/students/clerkships/emergency-medicine,30_emergency_medicine_exposure_map.md,Jordan MOH public context + official public university medicine pages + SEG student safety framework + emergency medicine source basis,"Student role boundaries, clerkship readiness, OSCE practice, communication, red-flag recognition",No official curriculum claim; no treatment protocol; no medication doses; supervised student role only,High,Yes before public launch
Psychiatry/Mental Health Clerkship,/students/clerkships/psychiatry,31_psychiatry_mental_health_clerkship_map.md,Jordan MOH public context + official public university medicine pages + SEG student safety framework + emergency medicine source basis,"Student role boundaries, clerkship readiness, OSCE practice, communication, red-flag recognition",No official curriculum claim; no treatment protocol; no medication doses; supervised student role only,High,Yes before public launch
Orthopedics/Trauma Basics,/students/clerkships/orthopedics-trauma,32_orthopedics_trauma_basics_map.md,Jordan MOH public context + official public university medicine pages + SEG student safety framework + emergency medicine source basis,"Student role boundaries, clerkship readiness, OSCE practice, communication, red-flag recognition",No official curriculum claim; no treatment protocol; no medication doses; supervised student role only,High,Yes before public launch
ENT/Ophthalmology Red Flags,/students/clerkships/ent-ophthalmology,33_ent_ophthalmology_red_flags.md,Jordan MOH public context + official public university medicine pages + SEG student safety framework + emergency medicine source basis,"Student role boundaries, clerkship readiness, OSCE practice, communication, red-flag recognition",No official curriculum claim; no treatment protocol; no medication doses; supervised student role only,High,Yes before public launch
Radiology Basics,/students/clerkships/radiology,34_radiology_basics_for_students.md,Jordan MOH public context + official public university medicine pages + SEG student safety framework + emergency medicine source basis,"Student role boundaries, clerkship readiness, OSCE practice, communication, red-flag recognition",No official curriculum claim; no treatment protocol; no medication doses; supervised student role only,Moderate,Yes before public launch
ICU/Anesthesia Exposure,/students/clerkships/icu-anesthesia,35_icu_anesthesia_exposure.md,Jordan MOH public context + official public university medicine pages + SEG student safety framework + emergency medicine source basis,"Student role boundaries, clerkship readiness, OSCE practice, communication, red-flag recognition",No official curriculum claim; no treatment protocol; no medication doses; supervised student role only,High,Yes before public launch
OSCE Station Bank,/students/osce-bank,36_osce_station_bank_jordan_students.md,Jordan MOH public context + official public university medicine pages + SEG student safety framework + emergency medicine source basis,"Student role boundaries, clerkship readiness, OSCE practice, communication, red-flag recognition",No official curriculum claim; no treatment protocol; no medication doses; supervised student role only,Moderate,Yes before public launch
Clinical Logbook and Portfolio,/students/clinical-logbook,37_clinical_logbook_portfolio.md,Jordan MOH public context + official public university medicine pages + SEG student safety framework + emergency medicine source basis,"Student role boundaries, clerkship readiness, OSCE practice, communication, red-flag recognition",No official curriculum claim; no treatment protocol; no medication doses; supervised student role only,Low,Yes before public launch
Arabic-English Bedside Communication,/students/arabic-english-communication,38_arabic_english_bedside_communication.md,Jordan MOH public context + official public university medicine pages + SEG student safety framework + emergency medicine source basis,"Student role boundaries, clerkship readiness, OSCE practice, communication, red-flag recognition",No official curriculum claim; no treatment protocol; no medication doses; supervised student role only,Low,Yes before public launch
Student-to-Intern Bridge,/students/student-to-intern-bridge,39_student_to_intern_bridge_jordan.md,Jordan MOH public context + official public university medicine pages + SEG student safety framework + emergency medicine source basis,"Student role boundaries, clerkship readiness, OSCE practice, communication, red-flag recognition",No official curriculum claim; no treatment protocol; no medication doses; supervised student role only,High,Yes before public launch
MOH Workflow and Referral Observation,/students/moh-workflow,40_moh_hospital_workflow_and_referral_observation.md,Jordan MOH public context + official public university medicine pages + SEG student safety framework + emergency medicine source basis,"Student role boundaries, clerkship readiness, OSCE practice, communication, red-flag recognition",No official curriculum claim; no treatment protocol; no medication doses; supervised student role only,Moderate,Yes before public launch
