id,title,type,category,path,file,summary
pulmonary-embolism-chest-pain,Pulmonary Embolism Chest Pain,case,chest-pain,/emergency-cases/chest-pain/pulmonary-embolism-chest-pain,content/cases/chest-pain/pulmonary-embolism-chest-pain.md,Obstructive shock from massive PE or sudden decompensation from right ventricular failure.
pericarditis-vs-cardiac-tamponade,Pericarditis vs Cardiac Tamponade,case,chest-pain,/emergency-cases/chest-pain/pericarditis-vs-cardiac-tamponade,content/cases/chest-pain/pericarditis-vs-cardiac-tamponade.md,Tamponade physiology causing obstructive shock.
esophageal-rupture-after-vomiting,Esophageal Rupture After Vomiting,case,chest-pain,/emergency-cases/chest-pain/esophageal-rupture-after-vomiting,content/cases/chest-pain/esophageal-rupture-after-vomiting.md,Mediastinitis and septic shock from esophageal perforation.
tension-pneumothorax-chest-pain,Tension Pneumothorax Chest Pain,case,chest-pain,/emergency-cases/chest-pain/tension-pneumothorax-chest-pain,content/cases/chest-pain/tension-pneumothorax-chest-pain.md,Obstructive shock from intrathoracic pressure collapsing venous return.
severe-asthma-near-respiratory-failure,Severe Asthma Near Respiratory Failure,case,dyspnea,/emergency-cases/dyspnea/severe-asthma-near-respiratory-failure,content/cases/dyspnea/severe-asthma-near-respiratory-failure.md,Respiratory arrest from fatigue and dynamic hyperinflation.
copd-exacerbation-with-hypercapnia,COPD Exacerbation with Hypercapnia,case,dyspnea,/emergency-cases/dyspnea/copd-exacerbation-with-hypercapnia,content/cases/dyspnea/copd-exacerbation-with-hypercapnia.md,"Hypercapnic respiratory failure, arrhythmia, or missed pneumonia/PE/heart failure mimic."
acute-pulmonary-edema,Acute Pulmonary Edema,case,dyspnea,/emergency-cases/dyspnea/acute-pulmonary-edema,content/cases/dyspnea/acute-pulmonary-edema.md,Hypoxemic respiratory failure and cardiogenic shock if pump failure progresses.
pneumonia-with-sepsis,Pneumonia with Sepsis,case,dyspnea,/emergency-cases/dyspnea/pneumonia-with-sepsis,content/cases/dyspnea/pneumonia-with-sepsis.md,Septic shock and respiratory failure.
anaphylaxis-with-airway-threat,Anaphylaxis with Airway Threat,case,dyspnea,/emergency-cases/dyspnea/anaphylaxis-with-airway-threat,content/cases/dyspnea/anaphylaxis-with-airway-threat.md,Airway obstruction and distributive shock.
carbon-monoxide-exposure,Carbon Monoxide Exposure,case,dyspnea,/emergency-cases/dyspnea/carbon-monoxide-exposure,content/cases/dyspnea/carbon-monoxide-exposure.md,"Hypoxic cellular injury, myocardial ischemia, neurologic injury, fetal harm in pregnancy."
upper-airway-obstruction,Upper Airway Obstruction,case,dyspnea,/emergency-cases/dyspnea/upper-airway-obstruction,content/cases/dyspnea/upper-airway-obstruction.md,Complete airway obstruction during delay or failed intubation.
undifferentiated-shock,Undifferentiated Shock,case,shock,/emergency-cases/shock/undifferentiated-shock,content/cases/shock/undifferentiated-shock.md,"Cardiac arrest from untreated obstructive, distributive, cardiogenic, or hemorrhagic shock."
septic-shock,Septic Shock,case,shock,/emergency-cases/shock/septic-shock,content/cases/shock/septic-shock.md,"Progressive vasodilatory shock, organ failure, and death from delayed source control/antimicrobial therapy."
hemorrhagic-trauma-shock,Hemorrhagic Trauma Shock,case,shock,/emergency-cases/shock/hemorrhagic-trauma-shock,content/cases/shock/hemorrhagic-trauma-shock.md,Exsanguination and traumatic cardiac arrest.
cardiogenic-shock,Cardiogenic Shock,case,shock,/emergency-cases/shock/cardiogenic-shock,content/cases/shock/cardiogenic-shock.md,Pump failure causing systemic hypoperfusion and pulmonary edema.
obstructive-shock-from-tamponade,Obstructive Shock from Tamponade,case,shock,/emergency-cases/shock/obstructive-shock-from-tamponade,content/cases/shock/obstructive-shock-from-tamponade.md,Mechanical obstruction to cardiac filling.
anaphylactic-shock,Anaphylactic Shock,case,shock,/emergency-cases/shock/anaphylactic-shock,content/cases/shock/anaphylactic-shock.md,Distributive shock and airway collapse.
adrenal-crisis,Adrenal Crisis,case,shock,/emergency-cases/shock/adrenal-crisis,content/cases/shock/adrenal-crisis.md,Refractory shock from cortisol deficiency.
hypoglycemia-altered-mental-status,Hypoglycemia Altered Mental Status,case,altered-mental-status,/emergency-cases/altered-mental-status/hypoglycemia-altered-mental-status,content/cases/altered-mental-status/hypoglycemia-altered-mental-status.md,Brain injury or death from unrecognized reversible neuroglycopenia.
acute-ischemic-stroke,Acute Ischemic Stroke,case,altered-mental-status,/emergency-cases/altered-mental-status/acute-ischemic-stroke,content/cases/altered-mental-status/acute-ischemic-stroke.md,Irreversible brain injury if reperfusion-eligible stroke is not identified quickly.
intracranial-hemorrhage,Intracranial Hemorrhage,case,altered-mental-status,/emergency-cases/altered-mental-status/intracranial-hemorrhage,content/cases/altered-mental-status/intracranial-hemorrhage.md,"Herniation, expanding hematoma, airway loss, and death."
status-epilepticus,Status Epilepticus,case,altered-mental-status,/emergency-cases/altered-mental-status/status-epilepticus,content/cases/altered-mental-status/status-epilepticus.md,"Neuronal injury, hypoxia, acidosis, aspiration, hyperthermia, and refractory seizures."
meningitis-encephalitis,Meningitis / Encephalitis,case,altered-mental-status,/emergency-cases/altered-mental-status/meningitis-encephalitis,content/cases/altered-mental-status/meningitis-encephalitis.md,"Sepsis, cerebral edema, seizures, and neurologic injury from delayed antimicrobial therapy."
sepsis-delirium-in-elderly,Sepsis Delirium in Elderly,case,altered-mental-status,/emergency-cases/altered-mental-status/sepsis-delirium-in-elderly,content/cases/altered-mental-status/sepsis-delirium-in-elderly.md,Occult sepsis and shock missed because presentation is atypical.
hyponatremic-seizure,Hyponatremic Seizure,case,altered-mental-status,/emergency-cases/altered-mental-status/hyponatremic-seizure,content/cases/altered-mental-status/hyponatremic-seizure.md,Cerebral edema and recurrent seizures from acute severe hyponatremia.
heat-stroke,Heat Stroke,case,altered-mental-status,/emergency-cases/altered-mental-status/heat-stroke,content/cases/altered-mental-status/heat-stroke.md,"Cellular heat injury, rhabdomyolysis, DIC, liver failure, and death."
opioid-overdose,Opioid Overdose,case,toxicology,/emergency-cases/toxicology/opioid-overdose,content/cases/toxicology/opioid-overdose.md,Respiratory arrest and hypoxic brain injury.
tca-sodium-channel-blocker-overdose,TCA / Sodium Channel Blocker Overdose,case,toxicology,/emergency-cases/toxicology/tca-sodium-channel-blocker-overdose,content/cases/toxicology/tca-sodium-channel-blocker-overdose.md,Malignant dysrhythmia and refractory shock from sodium-channel blockade.
salicylate-toxicity,Salicylate Toxicity,case,toxicology,/emergency-cases/toxicology/salicylate-toxicity,content/cases/toxicology/salicylate-toxicity.md,"Cerebral/pulmonary edema, severe acidosis, and death if acidemia worsens CNS penetration."
acetaminophen-overdose,Acetaminophen Overdose,case,toxicology,/emergency-cases/toxicology/acetaminophen-overdose,content/cases/toxicology/acetaminophen-overdose.md,Delayed hepatic failure if risk is missed early.
organophosphate-poisoning,Organophosphate Poisoning,case,toxicology,/emergency-cases/toxicology/organophosphate-poisoning,content/cases/toxicology/organophosphate-poisoning.md,"Respiratory failure from secretions, bronchospasm, muscle weakness, and seizures."
methanol-ethylene-glycol-toxic-alcohol,Methanol / Ethylene Glycol Toxic Alcohol,case,toxicology,/emergency-cases/toxicology/methanol-ethylene-glycol-toxic-alcohol,content/cases/toxicology/methanol-ethylene-glycol-toxic-alcohol.md,"Severe acidosis, blindness, renal failure, and death."
cyanide-toxicity-in-smoke-inhalation,Cyanide Toxicity in Smoke Inhalation,case,toxicology,/emergency-cases/toxicology/cyanide-toxicity-in-smoke-inhalation,content/cases/toxicology/cyanide-toxicity-in-smoke-inhalation.md,"Cellular inability to use oxygen despite delivery, causing rapid cardiovascular collapse."
serotonin-syndrome,Serotonin Syndrome,case,toxicology,/emergency-cases/toxicology/serotonin-syndrome,content/cases/toxicology/serotonin-syndrome.md,"Hyperthermia, rhabdomyolysis, seizures, and cardiovascular collapse."
lithium-toxicity,Lithium Toxicity,case,toxicology,/emergency-cases/toxicology/lithium-toxicity,content/cases/toxicology/lithium-toxicity.md,"Neurotoxicity, seizures, dysrhythmia, and prolonged toxicity due to renal handling."
ventricular-fibrillation-arrest,Ventricular Fibrillation Arrest,case,ecg,/emergency-cases/ecg/ventricular-fibrillation-arrest,content/cases/ecg/ventricular-fibrillation-arrest.md,No effective cardiac output; death without immediate resuscitation.
pulseless-ventricular-tachycardia,Pulseless Ventricular Tachycardia,case,ecg,/emergency-cases/ecg/pulseless-ventricular-tachycardia,content/cases/ecg/pulseless-ventricular-tachycardia.md,Cardiac arrest with shockable rhythm.
complete-heart-block-with-instability,Complete Heart Block with Instability,case,ecg,/emergency-cases/ecg/complete-heart-block-with-instability,content/cases/ecg/complete-heart-block-with-instability.md,"Low cardiac output, syncope, ischemia, or progression to arrest."
hyperkalemia-ecg-collapse,Hyperkalemia ECG Collapse,case,ecg,/emergency-cases/ecg/hyperkalemia-ecg-collapse,content/cases/ecg/hyperkalemia-ecg-collapse.md,Sudden malignant dysrhythmia from membrane instability.
wide-complex-tachycardia-stable-vs-unstable,Wide Complex Tachycardia Stable vs Unstable,case,ecg,/emergency-cases/ecg/wide-complex-tachycardia-stable-vs-unstable,content/cases/ecg/wide-complex-tachycardia-stable-vs-unstable.md,Degeneration to arrest or incorrect drug choice in undifferentiated wide tachycardia.
wellens-pattern-after-pain-resolves,Wellens Pattern After Pain Resolves,case,ecg,/emergency-cases/ecg/wellens-pattern-after-pain-resolves,content/cases/ecg/wellens-pattern-after-pain-resolves.md,Critical proximal LAD lesion with high risk of large anterior MI.
brugada-syncope,Brugada Syncope,case,ecg,/emergency-cases/ecg/brugada-syncope,content/cases/ecg/brugada-syncope.md,Sudden ventricular arrhythmic death.
primary-survey-polytrauma,Primary Survey Polytrauma,case,trauma,/emergency-cases/trauma/primary-survey-polytrauma,content/cases/trauma/primary-survey-polytrauma.md,Death from missed ABC threat before diagnostic workup.
head-injury-on-anticoagulants,Head Injury on Anticoagulants,case,trauma,/emergency-cases/trauma/head-injury-on-anticoagulants,content/cases/trauma/head-injury-on-anticoagulants.md,Intracranial hemorrhage with delayed recognition.
flail-chest-pulmonary-contusion,Flail Chest / Pulmonary Contusion,case,trauma,/emergency-cases/trauma/flail-chest-pulmonary-contusion,content/cases/trauma/flail-chest-pulmonary-contusion.md,"Respiratory failure from pain, contusion, and impaired ventilation."
blunt-abdominal-trauma,Blunt Abdominal Trauma,case,trauma,/emergency-cases/trauma/blunt-abdominal-trauma,content/cases/trauma/blunt-abdominal-trauma.md,Occult intra-abdominal hemorrhage or hollow viscus injury.
pelvic-fracture-hemorrhage,Pelvic Fracture Hemorrhage,case,trauma,/emergency-cases/trauma/pelvic-fracture-hemorrhage,content/cases/trauma/pelvic-fracture-hemorrhage.md,Massive retroperitoneal bleeding.
burns-with-inhalation-injury,Burns with Inhalation Injury,case,trauma,/emergency-cases/trauma/burns-with-inhalation-injury,content/cases/trauma/burns-with-inhalation-injury.md,Progressive airway edema and inhalational poisoning.
febrile-infant,Febrile Infant,case,pediatrics,/emergency-cases/pediatrics/febrile-infant,content/cases/pediatrics/febrile-infant.md,Invasive bacterial infection or sepsis with subtle signs.
pediatric-respiratory-distress,Pediatric Respiratory Distress,case,pediatrics,/emergency-cases/pediatrics/pediatric-respiratory-distress,content/cases/pediatrics/pediatric-respiratory-distress.md,Respiratory failure from fatigue or upper/lower airway obstruction.
pediatric-dehydration,Pediatric Dehydration,case,pediatrics,/emergency-cases/pediatrics/pediatric-dehydration,content/cases/pediatrics/pediatric-dehydration.md,Hypovolemic shock and electrolyte/glucose abnormalities.
pediatric-seizure,Pediatric Seizure,case,pediatrics,/emergency-cases/pediatrics/pediatric-seizure,content/cases/pediatrics/pediatric-seizure.md,"Status epilepticus, hypoglycemia, CNS infection, trauma, or toxic ingestion."
child-abuse-red-flags,Child Abuse Red Flags,case,pediatrics,/emergency-cases/pediatrics/child-abuse-red-flags,content/cases/pediatrics/child-abuse-red-flags.md,"Ongoing harm, missed intracranial/abdominal injury, unsafe discharge."
ectopic-pregnancy,Ectopic Pregnancy,case,obgyn,/emergency-cases/obgyn/ectopic-pregnancy,content/cases/obgyn/ectopic-pregnancy.md,Ruptured ectopic pregnancy causing hemorrhagic shock.
preeclampsia-eclampsia,Preeclampsia / Eclampsia,case,obgyn,/emergency-cases/obgyn/preeclampsia-eclampsia,content/cases/obgyn/preeclampsia-eclampsia.md,"Seizure, stroke, pulmonary edema, HELLP, maternal/fetal death."
postpartum-hemorrhage,Postpartum Hemorrhage,case,obgyn,/emergency-cases/obgyn/postpartum-hemorrhage,content/cases/obgyn/postpartum-hemorrhage.md,Exsanguination and shock.
ovarian-torsion,Ovarian Torsion,case,obgyn,/emergency-cases/obgyn/ovarian-torsion,content/cases/obgyn/ovarian-torsion.md,Ovarian ischemia and loss if detorsion is delayed.
septic-abortion,Septic Abortion,case,obgyn,/emergency-cases/obgyn/septic-abortion,content/cases/obgyn/septic-abortion.md,"Septic shock, uterine perforation, pelvic infection."
trauma-in-pregnancy,Trauma in Pregnancy,case,obgyn,/emergency-cases/obgyn/trauma-in-pregnancy,content/cases/obgyn/trauma-in-pregnancy.md,"Maternal hemorrhage, placental abruption, fetal compromise; maternal stabilization is fetal resuscitation."
crashing-airway,Crashing Airway,case,airway-procedures,/emergency-cases/airway-procedures/crashing-airway,content/cases/airway-procedures/crashing-airway.md,Hypoxic arrest during delayed or poorly planned airway intervention.
post-intubation-hypotension,Post-Intubation Hypotension,case,airway-procedures,/emergency-cases/airway-procedures/post-intubation-hypotension,content/cases/airway-procedures/post-intubation-hypotension.md,"Cardiac arrest from reduced venous return, medication effect, missed tension pneumothorax, or severe acidosis."
procedural-sedation-complication,Procedural Sedation Complication,case,airway-procedures,/emergency-cases/airway-procedures/procedural-sedation-complication,content/cases/airway-procedures/procedural-sedation-complication.md,"Hypoxia, aspiration, hemodynamic collapse."
dka-hhs-crisis,DKA / HHS Crisis,case,shock,/emergency-cases/shock/dka-hhs-crisis,content/cases/shock/dka-hhs-crisis.md,"Shock, cerebral edema risk, potassium shifts, and coma."
unstable-angina-nstemi,Unstable Angina / NSTEMI,case,chest-pain,/emergency-cases/chest-pain/unstable-angina-nstemi,content/cases/chest-pain/unstable-angina-nstemi.md,"Progression to occlusion MI, arrhythmia, shock, or missed ACS."
pulmonary-embolism-with-syncope,Pulmonary Embolism with Syncope,case,dyspnea,/emergency-cases/dyspnea/pulmonary-embolism-with-syncope,content/cases/dyspnea/pulmonary-embolism-with-syncope.md,Massive/submassive PE with RV failure.
undifferentiated-coma,Undifferentiated Coma,case,altered-mental-status,/emergency-cases/altered-mental-status/undifferentiated-coma,content/cases/altered-mental-status/undifferentiated-coma.md,"Airway loss, hypoxia, hypoglycemia, opioid toxicity, trauma, sepsis, or intracranial catastrophe."
spinal-cord-injury,Spinal Cord Injury,case,trauma,/emergency-cases/trauma/spinal-cord-injury,content/cases/trauma/spinal-cord-injury.md,Permanent neurologic injury and neurogenic shock.
pediatric-sepsis,Pediatric Sepsis,case,pediatrics,/emergency-cases/pediatrics/pediatric-sepsis,content/cases/pediatrics/pediatric-sepsis.md,Rapid progression to shock and cardiac arrest.
cannot-intubate-cannot-oxygenate,Cannot Intubate Cannot Oxygenate,case,airway-procedures,/emergency-cases/airway-procedures/cannot-intubate-cannot-oxygenate,content/cases/airway-procedures/cannot-intubate-cannot-oxygenate.md,Hypoxic arrest without immediate rescue oxygenation.
mcq_bank,Mcq Bank,practice,practice,/emergency-cases/practice/mcq_bank,content/practice/mcq_bank.md,Practice resource
mini_cases,Mini Cases,practice,practice,/emergency-cases/practice/mini_cases,content/practice/mini_cases.md,Practice resource
what_can_kill_now_prompts,What Can Kill Now Prompts,practice,practice,/emergency-cases/practice/what_can_kill_now_prompts,content/practice/what_can_kill_now_prompts.md,Practice resource
