route,title,image_brief,recommended_style,copyright_note
/pocus/core/depth-gain-focus,"Depth, Gain, and Focus","High-quality annotated educational ultrasound diagram/clip placeholder for Depth, Gain, and Focus: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/core/m-mode-basics,M-Mode Basics,"High-quality annotated educational ultrasound diagram/clip placeholder for M-Mode Basics: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/core/color-doppler-basics,Color Doppler Basics,"High-quality annotated educational ultrasound diagram/clip placeholder for Color Doppler Basics: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/core/needle-visualization,Needle Visualization,"High-quality annotated educational ultrasound diagram/clip placeholder for Needle Visualization: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/core/image-labeling-side-confirmation,Image Labeling and Side Confirmation,"High-quality annotated educational ultrasound diagram/clip placeholder for Image Labeling and Side Confirmation: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/core/probe-cleaning-infection-control,Probe Cleaning and Infection Control,"High-quality annotated educational ultrasound diagram/clip placeholder for Probe Cleaning and Infection Control: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/core/pocus-communication,POCUS Communication,"High-quality annotated educational ultrasound diagram/clip placeholder for POCUS Communication: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/core/procedural-sterile-setup,Procedural Sterile Setup,"High-quality annotated educational ultrasound diagram/clip placeholder for Procedural Sterile Setup: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/core/pocus-cognitive-bias,POCUS Cognitive Bias,"High-quality annotated educational ultrasound diagram/clip placeholder for POCUS Cognitive Bias: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/cardiac/pericardial-effusion-tamponade,Pericardial Effusion and Tamponade,"High-quality annotated educational ultrasound diagram/clip placeholder for Pericardial Effusion and Tamponade: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/cardiac/lv-function,Left Ventricular Function,"High-quality annotated educational ultrasound diagram/clip placeholder for Left Ventricular Function: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/cardiac/rv-dilation-strain,Right Ventricular Dilation and Strain,"High-quality annotated educational ultrasound diagram/clip placeholder for Right Ventricular Dilation and Strain: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/cardiac/cardiac-arrest-pocus,Cardiac Arrest POCUS,"High-quality annotated educational ultrasound diagram/clip placeholder for Cardiac Arrest POCUS: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/cardiac/ivc-volume-clues,IVC and Volume Clues,"High-quality annotated educational ultrasound diagram/clip placeholder for IVC and Volume Clues: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/cardiac/rush-shock,RUSH Shock Ultrasound,"High-quality annotated educational ultrasound diagram/clip placeholder for RUSH Shock Ultrasound: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/lung/a-lines,A-Lines and Dry Lung Pattern,"High-quality annotated educational ultrasound diagram/clip placeholder for A-Lines and Dry Lung Pattern: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/lung/b-lines,B-Lines and Interstitial Syndrome,"High-quality annotated educational ultrasound diagram/clip placeholder for B-Lines and Interstitial Syndrome: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/lung/pneumothorax,Pneumothorax POCUS,"High-quality annotated educational ultrasound diagram/clip placeholder for Pneumothorax POCUS: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/lung/pleural-effusion,Pleural Effusion,"High-quality annotated educational ultrasound diagram/clip placeholder for Pleural Effusion: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/lung/consolidation,Lung Consolidation,"High-quality annotated educational ultrasound diagram/clip placeholder for Lung Consolidation: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/lung/diaphragm-effort,Diaphragm and Effort Clues,"High-quality annotated educational ultrasound diagram/clip placeholder for Diaphragm and Effort Clues: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/trauma/fast-ruq,FAST RUQ View,"High-quality annotated educational ultrasound diagram/clip placeholder for FAST RUQ View: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/trauma/fast-luq,FAST LUQ View,"High-quality annotated educational ultrasound diagram/clip placeholder for FAST LUQ View: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/trauma/fast-pelvis,FAST Pelvic View,"High-quality annotated educational ultrasound diagram/clip placeholder for FAST Pelvic View: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/trauma/efast-chest,eFAST Chest Views,"High-quality annotated educational ultrasound diagram/clip placeholder for eFAST Chest Views: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/trauma/positive-fast-hypotensive-trauma,Positive FAST in Hypotensive Trauma,"High-quality annotated educational ultrasound diagram/clip placeholder for Positive FAST in Hypotensive Trauma: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/trauma/negative-fast-limitations,Negative FAST Limitations,"High-quality annotated educational ultrasound diagram/clip placeholder for Negative FAST Limitations: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/aorta/abdominal-aortic-aneurysm,Abdominal Aortic Aneurysm,"High-quality annotated educational ultrasound diagram/clip placeholder for Abdominal Aortic Aneurysm: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/aorta/aortic-dissection-caveats,Aortic Dissection Caveats,"High-quality annotated educational ultrasound diagram/clip placeholder for Aortic Dissection Caveats: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/vascular/dvt-femoral-compression,DVT Femoral Compression,"High-quality annotated educational ultrasound diagram/clip placeholder for DVT Femoral Compression: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/vascular/dvt-popliteal-compression,DVT Popliteal Compression,"High-quality annotated educational ultrasound diagram/clip placeholder for DVT Popliteal Compression: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/procedures/us-guided-piv,Ultrasound-Guided Peripheral IV,"High-quality annotated educational ultrasound diagram/clip placeholder for Ultrasound-Guided Peripheral IV: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/procedures/central-venous-access,Central Venous Access Guidance,"High-quality annotated educational ultrasound diagram/clip placeholder for Central Venous Access Guidance: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/procedures/thoracentesis-site-selection,Thoracentesis Site Selection,"High-quality annotated educational ultrasound diagram/clip placeholder for Thoracentesis Site Selection: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/procedures/paracentesis-site-selection,Paracentesis Site Selection,"High-quality annotated educational ultrasound diagram/clip placeholder for Paracentesis Site Selection: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/soft-tissue/abscess-vs-cellulitis,Abscess vs Cellulitis,"High-quality annotated educational ultrasound diagram/clip placeholder for Abscess vs Cellulitis: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/soft-tissue/foreign-body,Foreign Body Ultrasound,"High-quality annotated educational ultrasound diagram/clip placeholder for Foreign Body Ultrasound: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/msk/long-bone-fracture,Long Bone Fracture POCUS,"High-quality annotated educational ultrasound diagram/clip placeholder for Long Bone Fracture POCUS: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/obgyn/early-iup,Early Intrauterine Pregnancy,"High-quality annotated educational ultrasound diagram/clip placeholder for Early Intrauterine Pregnancy: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/obgyn/pregnancy-unknown-location,Pregnancy of Unknown Location,"High-quality annotated educational ultrasound diagram/clip placeholder for Pregnancy of Unknown Location: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/obgyn/ectopic-danger,Ectopic Pregnancy Danger,"High-quality annotated educational ultrasound diagram/clip placeholder for Ectopic Pregnancy Danger: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/obgyn/fetal-cardiac-activity,Fetal Cardiac Activity Basics,"High-quality annotated educational ultrasound diagram/clip placeholder for Fetal Cardiac Activity Basics: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/abdominal/biliary-cholecystitis,Biliary Colic and Cholecystitis,"High-quality annotated educational ultrasound diagram/clip placeholder for Biliary Colic and Cholecystitis: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/renal/hydronephrosis,Hydronephrosis,"High-quality annotated educational ultrasound diagram/clip placeholder for Hydronephrosis: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/renal/bladder-retention,Bladder Volume and Retention,"High-quality annotated educational ultrasound diagram/clip placeholder for Bladder Volume and Retention: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/abdominal/small-bowel-obstruction,Small Bowel Obstruction,"High-quality annotated educational ultrasound diagram/clip placeholder for Small Bowel Obstruction: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/abdominal/appendicitis-caveats,Appendicitis Caveats,"High-quality annotated educational ultrasound diagram/clip placeholder for Appendicitis Caveats: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/ocular/retinal-detachment,Retinal Detachment,"High-quality annotated educational ultrasound diagram/clip placeholder for Retinal Detachment: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/ocular/vitreous-hemorrhage-detachment,Vitreous Hemorrhage vs Detachment,"High-quality annotated educational ultrasound diagram/clip placeholder for Vitreous Hemorrhage vs Detachment: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/ocular/optic-nerve-sheath,Optic Nerve Sheath Diameter,"High-quality annotated educational ultrasound diagram/clip placeholder for Optic Nerve Sheath Diameter: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/peds/pyloric-stenosis,Pyloric Stenosis,"High-quality annotated educational ultrasound diagram/clip placeholder for Pyloric Stenosis: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/peds/pediatric-lung-ultrasound,Pediatric Lung Ultrasound,"High-quality annotated educational ultrasound diagram/clip placeholder for Pediatric Lung Ultrasound: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/procedures/nerve-block-concept,Ultrasound-Guided Nerve Block Concept,"High-quality annotated educational ultrasound diagram/clip placeholder for Ultrasound-Guided Nerve Block Concept: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/applications/soft-tissue/necrotizing-infection-clues,Soft Tissue Necrotizing Infection Clues,"High-quality annotated educational ultrasound diagram/clip placeholder for Soft Tissue Necrotizing Infection Clues: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
