title,slug,route,section,file,image_brief,source_anchor
Curvilinear Probe,curvilinear-probe,/pocus/core/curvilinear-probe,Core Skills,core_skills/curvilinear-probe.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Curvilinear Probe: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Linear Probe,linear-probe,/pocus/core/linear-probe,Core Skills,core_skills/linear-probe.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Linear Probe: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Phased Array Probe,phased-array-probe,/pocus/core/phased-array-probe,Core Skills,core_skills/phased-array-probe.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Phased Array Probe: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
"Depth, Gain, and Focus",depth-gain-focus,/pocus/core/depth-gain-focus,Core Skills,core_skills/depth-gain-focus.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Depth, Gain, and Focus: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
M-Mode Basics,m-mode-basics,/pocus/core/m-mode-basics,Core Skills,core_skills/m-mode-basics.md,"High-quality annotated educational ultrasound diagram/clip placeholder for M-Mode Basics: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Color Doppler Basics,color-doppler-basics,/pocus/core/color-doppler-basics,Core Skills,core_skills/color-doppler-basics.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Color Doppler Basics: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Needle Visualization,needle-visualization,/pocus/core/needle-visualization,Core Skills,core_skills/needle-visualization.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Needle Visualization: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Image Labeling and Side Confirmation,image-labeling-side-confirmation,/pocus/core/image-labeling-side-confirmation,Core Skills,core_skills/image-labeling-side-confirmation.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Image Labeling and Side Confirmation: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Probe Cleaning and Infection Control,probe-cleaning-infection-control,/pocus/core/probe-cleaning-infection-control,Core Skills,core_skills/probe-cleaning-infection-control.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Probe Cleaning and Infection Control: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
POCUS Communication,pocus-communication,/pocus/core/pocus-communication,Core Skills,core_skills/pocus-communication.md,"High-quality annotated educational ultrasound diagram/clip placeholder for POCUS Communication: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Procedural Sterile Setup,procedural-sterile-setup,/pocus/core/procedural-sterile-setup,Core Skills,core_skills/procedural-sterile-setup.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Procedural Sterile Setup: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
POCUS Cognitive Bias,pocus-cognitive-bias,/pocus/core/pocus-cognitive-bias,Core Skills,core_skills/pocus-cognitive-bias.md,"High-quality annotated educational ultrasound diagram/clip placeholder for POCUS Cognitive Bias: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Pericardial Effusion and Tamponade,pericardial-effusion-tamponade,/pocus/applications/cardiac/pericardial-effusion-tamponade,Clinical Applications,applications/cardiac/pericardial-effusion-tamponade.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Pericardial Effusion and Tamponade: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Left Ventricular Function,lv-function,/pocus/applications/cardiac/lv-function,Clinical Applications,applications/cardiac/lv-function.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Left Ventricular Function: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Right Ventricular Dilation and Strain,rv-dilation-strain,/pocus/applications/cardiac/rv-dilation-strain,Clinical Applications,applications/cardiac/rv-dilation-strain.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Right Ventricular Dilation and Strain: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Cardiac Arrest POCUS,cardiac-arrest-pocus,/pocus/applications/cardiac/cardiac-arrest-pocus,Clinical Applications,applications/cardiac/cardiac-arrest-pocus.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Cardiac Arrest POCUS: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
IVC and Volume Clues,ivc-volume-clues,/pocus/applications/cardiac/ivc-volume-clues,Clinical Applications,applications/cardiac/ivc-volume-clues.md,"High-quality annotated educational ultrasound diagram/clip placeholder for IVC and Volume Clues: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
RUSH Shock Ultrasound,rush-shock,/pocus/applications/cardiac/rush-shock,Clinical Applications,applications/cardiac/rush-shock.md,"High-quality annotated educational ultrasound diagram/clip placeholder for RUSH Shock Ultrasound: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
A-Lines and Dry Lung Pattern,a-lines,/pocus/applications/lung/a-lines,Clinical Applications,applications/lung/a-lines.md,"High-quality annotated educational ultrasound diagram/clip placeholder for A-Lines and Dry Lung Pattern: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
B-Lines and Interstitial Syndrome,b-lines,/pocus/applications/lung/b-lines,Clinical Applications,applications/lung/b-lines.md,"High-quality annotated educational ultrasound diagram/clip placeholder for B-Lines and Interstitial Syndrome: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Pneumothorax POCUS,pneumothorax,/pocus/applications/lung/pneumothorax,Clinical Applications,applications/lung/pneumothorax.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Pneumothorax POCUS: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Pleural Effusion,pleural-effusion,/pocus/applications/lung/pleural-effusion,Clinical Applications,applications/lung/pleural-effusion.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Pleural Effusion: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Lung Consolidation,consolidation,/pocus/applications/lung/consolidation,Clinical Applications,applications/lung/consolidation.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Lung Consolidation: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Diaphragm and Effort Clues,diaphragm-effort,/pocus/applications/lung/diaphragm-effort,Clinical Applications,applications/lung/diaphragm-effort.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Diaphragm and Effort Clues: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
FAST RUQ View,fast-ruq,/pocus/applications/trauma/fast-ruq,Clinical Applications,applications/trauma/fast-ruq.md,"High-quality annotated educational ultrasound diagram/clip placeholder for FAST RUQ View: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
FAST LUQ View,fast-luq,/pocus/applications/trauma/fast-luq,Clinical Applications,applications/trauma/fast-luq.md,"High-quality annotated educational ultrasound diagram/clip placeholder for FAST LUQ View: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
FAST Pelvic View,fast-pelvis,/pocus/applications/trauma/fast-pelvis,Clinical Applications,applications/trauma/fast-pelvis.md,"High-quality annotated educational ultrasound diagram/clip placeholder for FAST Pelvic View: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
eFAST Chest Views,efast-chest,/pocus/applications/trauma/efast-chest,Clinical Applications,applications/trauma/efast-chest.md,"High-quality annotated educational ultrasound diagram/clip placeholder for eFAST Chest Views: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Positive FAST in Hypotensive Trauma,positive-fast-hypotensive-trauma,/pocus/applications/trauma/positive-fast-hypotensive-trauma,Clinical Applications,applications/trauma/positive-fast-hypotensive-trauma.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Positive FAST in Hypotensive Trauma: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Negative FAST Limitations,negative-fast-limitations,/pocus/applications/trauma/negative-fast-limitations,Clinical Applications,applications/trauma/negative-fast-limitations.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Negative FAST Limitations: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Abdominal Aortic Aneurysm,abdominal-aortic-aneurysm,/pocus/applications/aorta/abdominal-aortic-aneurysm,Clinical Applications,applications/aorta/abdominal-aortic-aneurysm.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Abdominal Aortic Aneurysm: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Aortic Dissection Caveats,aortic-dissection-caveats,/pocus/applications/aorta/aortic-dissection-caveats,Clinical Applications,applications/aorta/aortic-dissection-caveats.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Aortic Dissection Caveats: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
DVT Femoral Compression,dvt-femoral-compression,/pocus/applications/vascular/dvt-femoral-compression,Clinical Applications,applications/vascular/dvt-femoral-compression.md,"High-quality annotated educational ultrasound diagram/clip placeholder for DVT Femoral Compression: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
DVT Popliteal Compression,dvt-popliteal-compression,/pocus/applications/vascular/dvt-popliteal-compression,Clinical Applications,applications/vascular/dvt-popliteal-compression.md,"High-quality annotated educational ultrasound diagram/clip placeholder for DVT Popliteal Compression: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Ultrasound-Guided Peripheral IV,us-guided-piv,/pocus/applications/procedures/us-guided-piv,Clinical Applications,applications/procedures/us-guided-piv.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Ultrasound-Guided Peripheral IV: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Central Venous Access Guidance,central-venous-access,/pocus/applications/procedures/central-venous-access,Clinical Applications,applications/procedures/central-venous-access.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Central Venous Access Guidance: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Thoracentesis Site Selection,thoracentesis-site-selection,/pocus/applications/procedures/thoracentesis-site-selection,Clinical Applications,applications/procedures/thoracentesis-site-selection.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Thoracentesis Site Selection: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Paracentesis Site Selection,paracentesis-site-selection,/pocus/applications/procedures/paracentesis-site-selection,Clinical Applications,applications/procedures/paracentesis-site-selection.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Paracentesis Site Selection: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Abscess vs Cellulitis,abscess-vs-cellulitis,/pocus/applications/soft-tissue/abscess-vs-cellulitis,Clinical Applications,applications/soft-tissue/abscess-vs-cellulitis.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Abscess vs Cellulitis: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Foreign Body Ultrasound,foreign-body,/pocus/applications/soft-tissue/foreign-body,Clinical Applications,applications/soft-tissue/foreign-body.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Foreign Body Ultrasound: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Long Bone Fracture POCUS,long-bone-fracture,/pocus/applications/msk/long-bone-fracture,Clinical Applications,applications/msk/long-bone-fracture.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Long Bone Fracture POCUS: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Early Intrauterine Pregnancy,early-iup,/pocus/applications/obgyn/early-iup,Clinical Applications,applications/obgyn/early-iup.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Early Intrauterine Pregnancy: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Pregnancy of Unknown Location,pregnancy-unknown-location,/pocus/applications/obgyn/pregnancy-unknown-location,Clinical Applications,applications/obgyn/pregnancy-unknown-location.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Pregnancy of Unknown Location: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Ectopic Pregnancy Danger,ectopic-danger,/pocus/applications/obgyn/ectopic-danger,Clinical Applications,applications/obgyn/ectopic-danger.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Ectopic Pregnancy Danger: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Fetal Cardiac Activity Basics,fetal-cardiac-activity,/pocus/applications/obgyn/fetal-cardiac-activity,Clinical Applications,applications/obgyn/fetal-cardiac-activity.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Fetal Cardiac Activity Basics: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Biliary Colic and Cholecystitis,biliary-cholecystitis,/pocus/applications/abdominal/biliary-cholecystitis,Clinical Applications,applications/abdominal/biliary-cholecystitis.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Biliary Colic and Cholecystitis: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Hydronephrosis,hydronephrosis,/pocus/applications/renal/hydronephrosis,Clinical Applications,applications/renal/hydronephrosis.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Hydronephrosis: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Bladder Volume and Retention,bladder-retention,/pocus/applications/renal/bladder-retention,Clinical Applications,applications/renal/bladder-retention.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Bladder Volume and Retention: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Small Bowel Obstruction,small-bowel-obstruction,/pocus/applications/abdominal/small-bowel-obstruction,Clinical Applications,applications/abdominal/small-bowel-obstruction.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Small Bowel Obstruction: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Appendicitis Caveats,appendicitis-caveats,/pocus/applications/abdominal/appendicitis-caveats,Clinical Applications,applications/abdominal/appendicitis-caveats.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Appendicitis Caveats: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Retinal Detachment,retinal-detachment,/pocus/applications/ocular/retinal-detachment,Clinical Applications,applications/ocular/retinal-detachment.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Retinal Detachment: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Vitreous Hemorrhage vs Detachment,vitreous-hemorrhage-detachment,/pocus/applications/ocular/vitreous-hemorrhage-detachment,Clinical Applications,applications/ocular/vitreous-hemorrhage-detachment.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Vitreous Hemorrhage vs Detachment: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Optic Nerve Sheath Diameter,optic-nerve-sheath,/pocus/applications/ocular/optic-nerve-sheath,Clinical Applications,applications/ocular/optic-nerve-sheath.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Optic Nerve Sheath Diameter: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Pyloric Stenosis,pyloric-stenosis,/pocus/applications/peds/pyloric-stenosis,Clinical Applications,applications/peds/pyloric-stenosis.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Pyloric Stenosis: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Pediatric Lung Ultrasound,pediatric-lung-ultrasound,/pocus/applications/peds/pediatric-lung-ultrasound,Clinical Applications,applications/peds/pediatric-lung-ultrasound.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Pediatric Lung Ultrasound: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Ultrasound-Guided Nerve Block Concept,nerve-block-concept,/pocus/applications/procedures/nerve-block-concept,Clinical Applications,applications/procedures/nerve-block-concept.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Ultrasound-Guided Nerve Block Concept: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Soft Tissue Necrotizing Infection Clues,necrotizing-infection-clues,/pocus/applications/soft-tissue/necrotizing-infection-clues,Clinical Applications,applications/soft-tissue/necrotizing-infection-clues.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Soft Tissue Necrotizing Infection Clues: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
