title,slug,category,module_order,path,source_basis,dose_status,setting_status,needs_final_medical_audit,has_arabic_simplification,has_assessment_question
Airway Mindset in the Emergency Department,airway-mindset,Roadmap,1,content/roadmap/airway-mindset.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Airway Protection: Not Just the Gag Reflex,airway-protection-not-gag-reflex,Airway,12,content/airway/airway-protection-not-gag-reflex.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Patient Positioning for Airway Success,patient-positioning-airway-success,Airway,13,content/airway/patient-positioning-airway-success.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Oral and Nasal Airway Adjuncts,oral-nasal-airway-adjuncts,Airway,14,content/airway/oral-nasal-airway-adjuncts.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Suction and the Contaminated Airway,suction-contaminated-airway,Airway,15,content/airway/suction-contaminated-airway.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Two-Person BVM Rescue,two-person-bvm-rescue,Airway,16,content/airway/two-person-bvm-rescue.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Supraglottic Airway Devices,supraglottic-airway-devices,Airway,17,content/airway/supraglottic-airway-devices.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Adult Front-of-Neck Access Concept,adult-front-of-neck-access,Airway,18,content/airway/adult-front-of-neck-access.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Pediatric Airway Differences,pediatric-airway-differences,Airway,19,content/airway/pediatric-airway-differences.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Obese Airway and Ramping,obese-airway-ramping,Airway,20,content/airway/obese-airway-ramping.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
The 7 Ps of RSI,seven-ps-of-rsi,Intubation,21,content/intubation/seven-ps-of-rsi.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Indications for Intubation,indications-for-intubation,Intubation,22,content/intubation/indications-for-intubation.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Pre-Intubation Optimization,pre-intubation-optimization,Intubation,23,content/intubation/pre-intubation-optimization.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Preoxygenation Methods,preoxygenation-methods,Intubation,24,content/intubation/preoxygenation-methods.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Etomidate for RSI,etomidate-for-rsi,RSI Medication Drafts,25,content/intubation/etomidate-for-rsi.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Ketamine for RSI and DSI,ketamine-for-rsi-dsi,RSI Medication Drafts,26,content/intubation/ketamine-for-rsi-dsi.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Propofol in Airway and Sedation,propofol-airway-sedation,RSI Medication Drafts,27,content/intubation/propofol-airway-sedation.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Fentanyl in Airway and Sedation,fentanyl-airway-sedation,RSI Medication Drafts,28,content/intubation/fentanyl-airway-sedation.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Succinylcholine for RSI,succinylcholine-rsi,RSI Medication Drafts,29,content/intubation/succinylcholine-rsi.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Rocuronium for RSI,rocuronium-rsi,RSI Medication Drafts,30,content/intubation/rocuronium-rsi.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Post-Intubation Sedation and Analgesia,post-intubation-sedation-analgesia,Intubation,31,content/intubation/post-intubation-sedation-analgesia.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Delayed Sequence Intubation Concept,delayed-sequence-intubation,Intubation,32,content/intubation/delayed-sequence-intubation.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Crash Airway,crash-airway,Intubation,33,content/intubation/crash-airway.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Awake Intubation Concept,awake-intubation-concept,Intubation,34,content/intubation/awake-intubation-concept.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Failed Airway Algorithm Draft,failed-airway-algorithm-draft,Intubation,35,content/intubation/failed-airway-algorithm-draft.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Cannot Intubate Cannot Oxygenate,cannot-intubate-cannot-oxygenate,Intubation,36,content/intubation/cannot-intubate-cannot-oxygenate.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Aspiration Risk During Airway Management,aspiration-risk-airway,Intubation,37,content/intubation/aspiration-risk-airway.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Trauma Airway,trauma-airway,Intubation,38,content/intubation/trauma-airway.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Burns and Inhalation Airway,burns-inhalation-airway,Intubation,39,content/intubation/burns-inhalation-airway.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Angioedema and Anaphylaxis Airway,angioedema-anaphylaxis-airway,Intubation,40,content/intubation/angioedema-anaphylaxis-airway.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Massive Hemoptysis Airway,massive-hemoptysis-airway,Intubation,41,content/intubation/massive-hemoptysis-airway.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Positive-Pressure Ventilation Physiology,positive-pressure-ventilation-physiology,Ventilator,42,content/ventilator/positive-pressure-ventilation-physiology.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Initial Ventilator Settings Draft,initial-ventilator-settings-draft,Ventilator Settings Drafts,43,content/ventilator/initial-ventilator-settings-draft.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Assist-Control Volume Control,assist-control-volume-control,Ventilator,44,content/ventilator/assist-control-volume-control.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Assist-Control Pressure Control,assist-control-pressure-control,Ventilator,45,content/ventilator/assist-control-pressure-control.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Pressure Support Ventilation,pressure-support-ventilation,Ventilator,46,content/ventilator/pressure-support-ventilation.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
SIMV Basics,simv-basics,Ventilator,47,content/ventilator/simv-basics.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
CPAP vs BiPAP/NPPV,cpap-vs-bipap-nppv,Ventilator,48,content/ventilator/cpap-vs-bipap-nppv.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
PEEP and FiO2 Logic,peep-and-fio2-logic,Ventilator,49,content/ventilator/peep-and-fio2-logic.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
ARDS Lung-Protective Ventilation,ards-lung-protective-ventilation,Ventilator Settings Drafts,50,content/ventilator/ards-lung-protective-ventilation.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Asthma/COPD Ventilation,asthma-copd-ventilation,Ventilator Settings Drafts,51,content/ventilator/asthma-copd-ventilation.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Metabolic Acidosis and Intubation Danger,metabolic-acidosis-intubation-danger,Ventilator,52,content/ventilator/metabolic-acidosis-intubation-danger.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
High-Pressure Alarm Approach,high-pressure-alarm-approach,Ventilator,53,content/ventilator/high-pressure-alarm-approach.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Low-Pressure Alarm Approach,low-pressure-alarm-approach,Ventilator,54,content/ventilator/low-pressure-alarm-approach.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Sudden Desaturation on the Ventilator,sudden-desaturation-ventilator,Ventilator,55,content/ventilator/sudden-desaturation-ventilator.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Auto-PEEP and Breath Stacking,auto-peep-breath-stacking,Ventilator,56,content/ventilator/auto-peep-breath-stacking.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Ventilator Asynchrony,ventilator-asynchrony,Ventilator,57,content/ventilator/ventilator-asynchrony.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Post-Intubation Hypotension,post-intubation-hypotension-airway,Ventilator,58,content/ventilator/post-intubation-hypotension-airway.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Hyperoxia After Intubation,hyperoxia-after-intubation,Ventilator,59,content/ventilator/hyperoxia-after-intubation.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Capnography on the Ventilator,capnography-on-ventilator,Ventilator,60,content/ventilator/capnography-on-ventilator.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Extubation and Weaning Readiness Concept,extubation-weaning-readiness-concept,Ventilator,61,content/ventilator/extubation-weaning-readiness-concept.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
