title,slug,category,suggested_visual,visual_safety_rule
Methemoglobinemia,methemoglobinemia,poisonings,Educational schematic for Methemoglobinemia with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
GHB Intoxication,ghb-intoxication,poisonings,Educational schematic for GHB Intoxication with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Wernicke Encephalopathy,wernicke-encephalopathy,poisonings,Educational schematic for Wernicke Encephalopathy with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Lithium Toxicity,lithium-toxicity,poisonings,Educational schematic for Lithium Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Valproate Toxicity,valproate-toxicity,poisonings,Educational schematic for Valproate Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
MDMA / Ecstasy Toxicity,mdma-ecstasy-toxicity,poisonings,Educational schematic for MDMA / Ecstasy Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Iron Toxicity,iron-toxicity,poisonings,Educational schematic for Iron Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Clonidine / Alpha-2 Agonist Toxicity,clonidine-alpha-2-agonist-toxicity,poisonings,Educational schematic for Clonidine / Alpha-2 Agonist Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Tricyclic Antidepressant Toxicity,tricyclic-antidepressant-toxicity,poisonings,Educational schematic for Tricyclic Antidepressant Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Isopropanol Toxicity,isopropanol-toxicity,poisonings,Educational schematic for Isopropanol Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Salicylate Toxicity,salicylate-toxicity,poisonings,Educational schematic for Salicylate Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Acetaminophen Toxicity,acetaminophen-toxicity,poisonings,Educational schematic for Acetaminophen Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Carbon Monoxide Poisoning,carbon-monoxide-poisoning,poisonings,Educational schematic for Carbon Monoxide Poisoning with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Cyanide / Cellular Asphyxiants,cyanide-cellular-asphyxiants,poisonings,Educational schematic for Cyanide / Cellular Asphyxiants with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Toxic Alcohols: Methanol and Ethylene Glycol,toxic-alcohols-methanol-ethylene-glycol,poisonings,Educational schematic for Toxic Alcohols: Methanol and Ethylene Glycol with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Nicotine / Liquid Nicotine Toxicity,nicotine-liquid-nicotine-toxicity,poisonings,Educational schematic for Nicotine / Liquid Nicotine Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Hydrocarbon / Sudden Sniffing Death,hydrocarbon-sudden-sniffing-death,poisonings,Educational schematic for Hydrocarbon / Sudden Sniffing Death with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Quinine / Chloroquine Toxicity,quinine-chloroquine-toxicity,poisonings,Educational schematic for Quinine / Chloroquine Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Body Packing / Body Stuffing,body-packing-body-stuffing,poisonings,Educational schematic for Body Packing / Body Stuffing with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Thallium Poisoning,thallium-poisoning,poisonings,Educational schematic for Thallium Poisoning with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Hydrogen Sulfide Exposure,hydrogen-sulfide-exposure,poisonings,Educational schematic for Hydrogen Sulfide Exposure with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Toad / Bufotoxin Cardiac Glycoside Toxicity,toad-bufotoxin-toxicity,poisonings,Educational schematic for Toad / Bufotoxin Cardiac Glycoside Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Methadone / Long-Acting Opioid Toxicity,methadone-long-acting-opioid-toxicity,poisonings,Educational schematic for Methadone / Long-Acting Opioid Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Hydrofluoric Acid Exposure,hydrofluoric-acid-exposure,poisonings,Educational schematic for Hydrofluoric Acid Exposure with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Superwarfarin / Rodenticide Exposure,superwarfarin-rodenticide-exposure,poisonings,Educational schematic for Superwarfarin / Rodenticide Exposure with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Lionfish Envenomation,lionfish-envenomation,poisonings,Educational schematic for Lionfish Envenomation with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Naloxone,naloxone,antidotes,"Antidote mechanism card for Naloxone: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
N-Acetylcysteine,n-acetylcysteine,antidotes,"Antidote mechanism card for N-Acetylcysteine: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Sodium Bicarbonate,sodium-bicarbonate,antidotes,"Antidote mechanism card for Sodium Bicarbonate: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Atropine,atropine,antidotes,"Antidote mechanism card for Atropine: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Pralidoxime,pralidoxime,antidotes,"Antidote mechanism card for Pralidoxime: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Pyridoxine,pyridoxine,antidotes,"Antidote mechanism card for Pyridoxine: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Methylene Blue,methylene-blue,antidotes,"Antidote mechanism card for Methylene Blue: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Hydroxocobalamin,hydroxocobalamin,antidotes,"Antidote mechanism card for Hydroxocobalamin: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Fomepizole,fomepizole,antidotes,"Antidote mechanism card for Fomepizole: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Digoxin-Specific Antibody Fragments,digoxin-fab,antidotes,"Antidote mechanism card for Digoxin-Specific Antibody Fragments: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Deferoxamine,deferoxamine,antidotes,"Antidote mechanism card for Deferoxamine: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Prussian Blue,prussian-blue,antidotes,"Antidote mechanism card for Prussian Blue: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Vitamin K,vitamin-k,antidotes,"Antidote mechanism card for Vitamin K: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Cyproheptadine,cyproheptadine,antidotes,"Antidote mechanism card for Cyproheptadine: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Physostigmine,physostigmine,antidotes,"Antidote mechanism card for Physostigmine: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Calcium Therapy Concept,calcium-therapy-concept,antidotes,"Antidote mechanism card for Calcium Therapy Concept: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
High-Dose Insulin Euglycemia Concept,high-dose-insulin-euglycemia-concept,antidotes,"Antidote mechanism card for High-Dose Insulin Euglycemia Concept: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Toxicology MCQ Bank,toxicology-mcq-bank,practice,Question card / case flow diagram; no patient identifiable imagery.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Toxicology Mini Cases,toxicology-mini-cases,practice,Question card / case flow diagram; no patient identifiable imagery.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Rapid Prompts: What Can Kill the Patient Now?,rapid-prompts-toxicology,practice,Question card / case flow diagram; no patient identifiable imagery.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
