pack,title,slug,category,suggested_visual,visual_safety_rule,id,image_type,brief,copyright_status,recommended_visual,must_avoid,source_status,notes,description,licensing_note,route,image_brief,recommended_style,copyright_note
Toxicology Essentials,Carbon Monoxide Poisoning,carbon-monoxide-poisoning,poisonings,Educational schematic for Carbon Monoxide Poisoning with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Cyanide / Cellular Asphyxiants,cyanide-cellular-asphyxiants,poisonings,Educational schematic for Cyanide / Cellular Asphyxiants with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Toxic Alcohols: Methanol and Ethylene Glycol,toxic-alcohols-methanol-ethylene-glycol,poisonings,Educational schematic for Toxic Alcohols: Methanol and Ethylene Glycol with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Nicotine / Liquid Nicotine Toxicity,nicotine-liquid-nicotine-toxicity,poisonings,Educational schematic for Nicotine / Liquid Nicotine Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Hydrocarbon / Sudden Sniffing Death,hydrocarbon-sudden-sniffing-death,poisonings,Educational schematic for Hydrocarbon / Sudden Sniffing Death with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Quinine / Chloroquine Toxicity,quinine-chloroquine-toxicity,poisonings,Educational schematic for Quinine / Chloroquine Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Body Packing / Body Stuffing,body-packing-body-stuffing,poisonings,Educational schematic for Body Packing / Body Stuffing with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Thallium Poisoning,thallium-poisoning,poisonings,Educational schematic for Thallium Poisoning with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Hydrogen Sulfide Exposure,hydrogen-sulfide-exposure,poisonings,Educational schematic for Hydrogen Sulfide Exposure with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Toad / Bufotoxin Cardiac Glycoside Toxicity,toad-bufotoxin-toxicity,poisonings,Educational schematic for Toad / Bufotoxin Cardiac Glycoside Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Methadone / Long-Acting Opioid Toxicity,methadone-long-acting-opioid-toxicity,poisonings,Educational schematic for Methadone / Long-Acting Opioid Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Hydrofluoric Acid Exposure,hydrofluoric-acid-exposure,poisonings,Educational schematic for Hydrofluoric Acid Exposure with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Superwarfarin / Rodenticide Exposure,superwarfarin-rodenticide-exposure,poisonings,Educational schematic for Superwarfarin / Rodenticide Exposure with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Lionfish Envenomation,lionfish-envenomation,poisonings,Educational schematic for Lionfish Envenomation with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Naloxone,naloxone,antidotes,"Antidote mechanism card for Naloxone: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,N-Acetylcysteine,n-acetylcysteine,antidotes,"Antidote mechanism card for N-Acetylcysteine: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Sodium Bicarbonate,sodium-bicarbonate,antidotes,"Antidote mechanism card for Sodium Bicarbonate: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Atropine,atropine,antidotes,"Antidote mechanism card for Atropine: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Pralidoxime,pralidoxime,antidotes,"Antidote mechanism card for Pralidoxime: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Pyridoxine,pyridoxine,antidotes,"Antidote mechanism card for Pyridoxine: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Methylene Blue,methylene-blue,antidotes,"Antidote mechanism card for Methylene Blue: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Hydroxocobalamin,hydroxocobalamin,antidotes,"Antidote mechanism card for Hydroxocobalamin: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Fomepizole,fomepizole,antidotes,"Antidote mechanism card for Fomepizole: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Digoxin-Specific Antibody Fragments,digoxin-fab,antidotes,"Antidote mechanism card for Digoxin-Specific Antibody Fragments: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Deferoxamine,deferoxamine,antidotes,"Antidote mechanism card for Deferoxamine: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Prussian Blue,prussian-blue,antidotes,"Antidote mechanism card for Prussian Blue: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Vitamin K,vitamin-k,antidotes,"Antidote mechanism card for Vitamin K: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Cyproheptadine,cyproheptadine,antidotes,"Antidote mechanism card for Cyproheptadine: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Physostigmine,physostigmine,antidotes,"Antidote mechanism card for Physostigmine: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Calcium Therapy Concept,calcium-therapy-concept,antidotes,"Antidote mechanism card for Calcium Therapy Concept: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,High-Dose Insulin Euglycemia Concept,high-dose-insulin-euglycemia-concept,antidotes,"Antidote mechanism card for High-Dose Insulin Euglycemia Concept: indication, mechanism, monitoring, trap.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Toxicology MCQ Bank,toxicology-mcq-bank,practice,Question card / case flow diagram; no patient identifiable imagery.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Toxicology Mini Cases,toxicology-mini-cases,practice,Question card / case flow diagram; no patient identifiable imagery.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Rapid Prompts: What Can Kill the Patient Now?,rapid-prompts-toxicology,practice,Question card / case flow diagram; no patient identifiable imagery.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Drug Essentials,Epinephrine,,,,,epinephrine,educational schematic card,"Create a clean SEG-style educational card for Epinephrine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Norepinephrine,,,,,norepinephrine,educational schematic card,"Create a clean SEG-style educational card for Norepinephrine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Dopamine,,,,,dopamine,educational schematic card,"Create a clean SEG-style educational card for Dopamine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Dobutamine,,,,,dobutamine,educational schematic card,"Create a clean SEG-style educational card for Dobutamine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Vasopressin,,,,,vasopressin,educational schematic card,"Create a clean SEG-style educational card for Vasopressin showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Phenylephrine,,,,,phenylephrine,educational schematic card,"Create a clean SEG-style educational card for Phenylephrine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Adenosine,,,,,adenosine,educational schematic card,"Create a clean SEG-style educational card for Adenosine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Amiodarone,,,,,amiodarone,educational schematic card,"Create a clean SEG-style educational card for Amiodarone showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Lidocaine,,,,,lidocaine,educational schematic card,"Create a clean SEG-style educational card for Lidocaine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Atropine,,,,,atropine,educational schematic card,"Create a clean SEG-style educational card for Atropine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Magnesium Sulfate,,,,,magnesium-sulfate,educational schematic card,"Create a clean SEG-style educational card for Magnesium Sulfate showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Calcium Gluconate,,,,,calcium-gluconate,educational schematic card,"Create a clean SEG-style educational card for Calcium Gluconate showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Calcium Chloride,,,,,calcium-chloride,educational schematic card,"Create a clean SEG-style educational card for Calcium Chloride showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Sodium Bicarbonate,,,,,sodium-bicarbonate,educational schematic card,"Create a clean SEG-style educational card for Sodium Bicarbonate showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Nitroglycerin,,,,,nitroglycerin,educational schematic card,"Create a clean SEG-style educational card for Nitroglycerin showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Aspirin,,,,,aspirin,educational schematic card,"Create a clean SEG-style educational card for Aspirin showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Unfractionated Heparin,,,,,unfractionated-heparin,educational schematic card,"Create a clean SEG-style educational card for Unfractionated Heparin showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Enoxaparin,,,,,enoxaparin,educational schematic card,"Create a clean SEG-style educational card for Enoxaparin showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Alteplase (tPA),,,,,alteplase-tpa,educational schematic card,"Create a clean SEG-style educational card for Alteplase (tPA) showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Tenecteplase,,,,,tenecteplase,educational schematic card,"Create a clean SEG-style educational card for Tenecteplase showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Streptokinase,,,,,streptokinase,educational schematic card,"Create a clean SEG-style educational card for Streptokinase showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Tranexamic Acid,,,,,tranexamic-acid,educational schematic card,"Create a clean SEG-style educational card for Tranexamic Acid showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Ketamine,,,,,ketamine,educational schematic card,"Create a clean SEG-style educational card for Ketamine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Etomidate,,,,,etomidate,educational schematic card,"Create a clean SEG-style educational card for Etomidate showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Propofol,,,,,propofol,educational schematic card,"Create a clean SEG-style educational card for Propofol showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Midazolam,,,,,midazolam,educational schematic card,"Create a clean SEG-style educational card for Midazolam showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Lorazepam,,,,,lorazepam,educational schematic card,"Create a clean SEG-style educational card for Lorazepam showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Diazepam,,,,,diazepam,educational schematic card,"Create a clean SEG-style educational card for Diazepam showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Fentanyl,,,,,fentanyl,educational schematic card,"Create a clean SEG-style educational card for Fentanyl showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Morphine,,,,,morphine,educational schematic card,"Create a clean SEG-style educational card for Morphine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Hydromorphone,,,,,hydromorphone,educational schematic card,"Create a clean SEG-style educational card for Hydromorphone showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Ketorolac,,,,,ketorolac,educational schematic card,"Create a clean SEG-style educational card for Ketorolac showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Acetaminophen,,,,,acetaminophen,educational schematic card,"Create a clean SEG-style educational card for Acetaminophen showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Succinylcholine,,,,,succinylcholine,educational schematic card,"Create a clean SEG-style educational card for Succinylcholine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Rocuronium,,,,,rocuronium,educational schematic card,"Create a clean SEG-style educational card for Rocuronium showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Vecuronium,,,,,vecuronium,educational schematic card,"Create a clean SEG-style educational card for Vecuronium showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
Drug Essentials,Sugammadex,,,,,sugammadex,educational schematic card,"Create a clean SEG-style educational card for Sugammadex showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required,,,,,,,,,,
